Id,R,Name,Team,Year,Pv,Mv,Fm,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,last_name,first_initial,merge_key
4887,D,Bellanova,Torino,2024,1,7.0,7.0,37.0,3104.0,1.0,1.7604174735024571,7.0,6.650871468707919,32.0,52.0,5.0,0.0,D M S,Torino,1.0,1.7604174735024571,11.59403127618134,6.98616261780262,Bellanova,R,Bellanova
4816,D,Emerson Royal,Milan,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4409,D,Rrahmani,Napoli,2024,1,4.5,4.5,30.0,2612.0,3.0,3.4071608036756516,0.0,0.7616675207391381,25.0,13.0,5.0,0.0,D,Napoli,3.0,3.4071608036756516,13.804005013778806,13.218144295737147,Rrahmani,A,Rrahmani
5323,D,Martinez Quarta,Fiorentina,2024,1,5.5,5.5,,,,,,,,,,,,,,,,,,,
5354,D,Ruggeri,Atalanta,2024,0,0.0,0.0,34.0,2489.0,0.0,0.6316420622169971,4.0,2.544009182602167,12.0,24.0,3.0,0.0,D M S,Atalanta,0.0,0.6316420622169971,10.970818209461868,9.308693802915514,Ruggeri,M,Ruggeri
460,D,Romagnoli,Lazio,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
513,D,Acerbi,Inter,2024,1,5.0,5.0,29.0,2381.0,3.0,1.4171453770250082,1.0,1.5421600556001067,15.0,7.0,1.0,0.0,D S,Inter,3.0,1.4171453770250082,14.983083475381136,14.750613091513516,Acerbi,F,Acerbi
2296,D,Mancini,Roma,2024,1,6.0,6.0,36.0,2881.0,4.0,2.5976381422951818,1.0,0.9861035160720348,19.0,10.0,9.0,0.0,D S,Roma,4.0,2.5976381422951818,9.495561430230737,9.208332350477576,Mancini,G,Mancini
4772,D,Angelino,Roma,2024,1,5.5,5.5,16.0,1169.0,0.0,0.2103409711271524,1.0,1.6354470886290071,8.0,19.0,2.0,0.0,D S,Roma,0.0,0.2103409711271524,4.212130680680275,3.599353041499853,Angelino,A,Angelino
5022,D,Pavlovic,Milan,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
554,D,Zappacosta,Atalanta,2024,0,0.0,0.0,31.0,1888.0,2.0,3.113600242882967,1.0,2.084370044060051,37.0,17.0,5.0,0.0,D M S,Atalanta,2.0,3.113600242882967,9.883850516751409,5.854753114283085,Zappacosta,D,Zappacosta
2602,D,Varane,Como,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2640,D,Kolasinac,Atalanta,2024,0,0.0,0.0,30.0,2206.0,1.0,1.1113558299839497,0.0,0.8098294232040644,13.0,8.0,4.0,0.0,D S,Atalanta,1.0,1.1113558299839497,6.6635137517005205,5.958992322906852,Kolasinac,S,Kolasinac
5514,D,Vasquez,Genoa,2024,1,5.5,5.5,,,,,,,,,,,,,,,,,,,
5520,D,Cambiaso,Juventus,2024,0,0.0,0.0,34.0,2410.0,2.0,3.4012876134365797,3.0,3.768610880710185,29.0,37.0,10.0,0.0,D F M S,Juventus,2.0,3.4012876134365797,10.551057416945696,6.422112620435655,Cambiaso,A,Cambiaso
5603,D,Pongracic,Fiorentina,2024,1,4.5,3.5,36.0,3220.0,0.0,1.3009874150156977,0.0,0.4591833371669054,13.0,11.0,7.0,1.0,D,Lecce,0.0,1.3009874150156977,7.105370898731053,6.591240594163537,Pongracic,M,Pongracic
5678,D,Holm,Bologna,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5835,D,Baschirotto,Lecce,2024,0,0.0,0.0,37.0,3298.0,0.0,2.30855421256274,1.0,0.5566259026527405,18.0,2.0,3.0,1.0,D,Lecce,0.0,2.30855421256274,5.680645692162216,5.650157491676509,Baschirotto,F,Baschirotto
5877,D,Carlos Augusto,Inter,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
5885,D,Dodo',Fiorentina,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
322,D,De Vrij,Inter,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
393,D,Luperto,Cagliari,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
787,D,Djimsiti,Atalanta,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2525,D,Darmian,Inter,2024,1,5.5,5.5,33.0,2436.0,2.0,1.5660245101898909,1.0,1.6902962233871222,10.0,23.0,2.0,0.0,D S,Inter,2.0,1.5660245101898909,16.104429135099053,13.302629305049775,Darmian,M,Darmian
4210,D,Mina,Cagliari,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4245,D,Smalling,Roma,2024,0,0.0,0.0,8.0,377.0,0.0,0.0280518811196088,0.0,0.0233509931713342,1.0,1.0,0.0,0.0,D S,Roma,0.0,0.0280518811196088,0.3877423368394375,0.3877423368394375,Smalling,C,Smalling
4317,D,N'Dicka,Roma,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
4734,D,Miranda J.,Bologna,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5449,D,Parisi,Fiorentina,2024,1,6.0,6.0,21.0,1451.0,0.0,1.1005738358944654,1.0,2.193103577941656,12.0,16.0,4.0,0.0,D S,Fiorentina,0.0,1.1005738358944654,9.431910619139671,7.1888817343860865,Parisi,F,Parisi
5498,D,Casale,Lazio,2024,1,6.5,6.5,20.0,1559.0,0.0,0.9763956321403384,0.0,0.0758862327784299,7.0,2.0,5.0,0.0,D S,Lazio,0.0,0.9763956321403384,4.498380331322551,4.311005115509033,Casale,N,Casale
5526,D,Scalvini,Atalanta,2024,0,0.0,0.0,33.0,2579.0,1.0,1.3213619571179152,3.0,1.2767269192263484,19.0,10.0,3.0,0.0,D M S,Atalanta,1.0,1.3213619571179152,11.570769302546978,10.104473318904638,Scalvini,G,Scalvini
5847,D,Bijol,Udinese,2024,1,7.0,7.0,24.0,2082.0,0.0,1.359392996877432,0.0,0.1122936960309743,15.0,3.0,4.0,0.0,D S,Udinese,0.0,1.359392996877432,4.954108491539955,4.864091504365206,Bijol,J,Bijol
6046,D,Hien,Atalanta,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6066,D,Posch,Bologna,2024,1,6.0,6.0,31.0,2441.0,1.0,1.2682907721027732,2.0,2.8784273993223906,18.0,22.0,7.0,0.0,D S,Bologna,1.0,1.2682907721027732,7.7063942681998014,6.1556713078171015,Posch,S,Posch
6230,D,Dossena,Como,2024,0,0.0,0.0,35.0,2978.0,2.0,2.615106286481023,4.0,2.2161922603845596,24.0,12.0,5.0,0.0,D S,Cagliari,2.0,2.615106286481023,3.801843693479896,3.2734219189733267,Dossena,A,Dossena
6257,D,Dorgu,Lecce,2024,0,0.0,0.0,32.0,1553.0,2.0,2.840239219367504,0.0,2.0495039699599147,19.0,18.0,6.0,0.0,D F M S,Lecce,2.0,2.840239219367504,6.467214574106038,3.3943686094135046,Dorgu,P,Dorgu
6638,D,Marin R.,Napoli,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6642,D,Coco,Torino,2024,1,6.5,6.5,,,,,,,,,,,,,,,,,,,
6820,D,Sosa B.,Torino,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
252,D,Biraghi,Fiorentina,2024,1,6.5,9.5,29.0,2366.0,2.0,1.541363311931491,5.0,4.970447704195976,17.0,45.0,8.0,0.0,D S,Fiorentina,2.0,0.7800644766539335,6.196250403299928,5.446145296096802,Biraghi,C,Biraghi
357,D,Calabria,Milan,2024,1,5.0,5.0,29.0,2216.0,1.0,1.2325395569205284,3.0,1.209073469042778,21.0,12.0,3.0,2.0,D S,AC Milan,1.0,1.2325395569205284,8.848112123087049,8.138166825287044,Calabria,D,Calabria
2285,D,Bani,Genoa,2024,1,5.5,5.5,27.0,2313.0,2.0,1.6134519381448629,0.0,0.1038574632257223,9.0,2.0,9.0,0.0,D,Genoa,2.0,1.6134519381448629,1.4570695161819458,1.4570695161819458,Bani,M,Bani
4378,D,Ranieri L.,Fiorentina,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4433,D,Zortea,Cagliari,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4904,D,Mari',Monza,2024,1,5.5,5.5,,,,,,,,,,,,,,,,,,,
5324,D,Godfrey,Atalanta,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5435,D,Moreno Alb.,Como,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5677,D,Perez N.,Udinese,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
5831,D,Gatti,Juventus,2024,0,0.0,0.0,32.0,2654.0,4.0,6.301926800981164,0.0,2.331916820257902,35.0,10.0,7.0,0.0,D S,Juventus,4.0,6.301926800981164,9.019049543887377,6.176881054416299,Gatti,F,Gatti
5840,D,Olivera,Napoli,2024,1,5.0,5.0,23.0,1573.0,1.0,0.8125967849045992,1.0,1.1069821063429115,12.0,19.0,3.0,0.0,D S,Napoli,1.0,0.8125967849045992,7.649928713217378,6.484758350066841,Olivera,M,Olivera
6041,D,Schuurs,Torino,2024,0,0.0,0.0,9.0,771.0,1.0,0.7242057342082262,0.0,0.1234192624688148,7.0,1.0,2.0,0.0,D,Torino,1.0,0.7242057342082262,1.1792714418843389,0.8482931600883603,Schuurs,P,Schuurs
6042,D,Lucumi',Bologna,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6202,D,Beukema,Bologna,2024,1,6.0,6.0,30.0,2554.0,1.0,2.6552196834236383,1.0,0.6003758893348277,12.0,7.0,4.0,1.0,D S,Bologna,1.0,2.6552196834236383,7.411603178828955,7.235883537679911,Beukema,S,Beukema
49,D,Masina,Torino,2024,1,5.5,5.5,,,,,,,,,,,,,,,,,,,
226,D,Izzo,Monza,2024,1,6.5,6.5,23.0,1663.0,0.0,0.5234021171927452,0.0,0.7562816748395562,5.0,7.0,9.0,0.0,D S,Monza,0.0,0.5234021171927452,5.485083221457899,5.326382507570088,Izzo,A,Izzo
791,D,Sabelli,Genoa,2024,1,5.5,5.5,,,,,,,,,,,,,,,,,,,
2130,D,Hateboer,Atalanta,2024,0,0.0,0.0,23.0,1094.0,0.0,0.3292371742427349,1.0,2.4460225384682417,11.0,22.0,5.0,0.0,D M S,Atalanta,0.0,0.3292371742427349,5.45352204144001,4.465422060340643,Hateboer,H,Hateboer
2188,D,Marusic,Lazio,2024,1,6.0,6.0,37.0,3120.0,1.0,0.7665141485631466,0.0,0.7136273309588432,8.0,10.0,3.0,1.0,D,Lazio,1.0,0.7665141485631466,9.412858635187147,8.192704245448112,Marusic,A,Marusic
4461,D,Zappa,Cagliari,2024,1,6.0,6.0,38.0,2553.0,1.0,1.48014113958925,3.0,3.2002728516235948,19.0,25.0,2.0,0.0,D M S,Cagliari,1.0,1.48014113958925,7.56587568577379,3.5023112297058105,Zappa,G,Zappa
4530,D,Kyriakopoulos,Monza,2024,1,6.0,6.0,28.0,1722.0,0.0,1.161013673990965,3.0,1.8630351405590773,24.0,21.0,3.0,0.0,D S,Monza,0.0,1.161013673990965,5.851192948408425,4.496173164341599,Kyriakopoulos,G,Kyriakopoulos
4982,D,Erlic,Bologna,2024,1,7.0,7.0,,,,,,,,,,,,,,,,,,,
4994,D,Vojvoda,Torino,2024,1,6.5,6.0,28.0,1372.0,0.0,0.2669189944863319,3.0,1.501221808604896,9.0,18.0,3.0,0.0,D M S,Torino,0.0,0.2669189944863319,5.784149983897805,5.116446918807924,Vojvoda,M,Vojvoda
5010,D,Ismajli,Empoli,2024,1,6.5,6.5,26.0,2037.0,0.0,0.2571477051824331,0.0,0.0920417718589305,5.0,4.0,2.0,0.0,D S,Empoli,0.0,0.2571477051824331,4.935336872935295,4.919616490602493,Ismajli,A,Ismajli
5527,D,Zanoli,Genoa,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
5620,D,Tavares N.,Lazio,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5739,D,De Winter,Genoa,2024,1,5.0,5.0,,,,,,,,,,,,,,,,,,,
5862,D,Valeri,Parma,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
5867,D,Gendrey,Lecce,2024,0,0.0,0.0,37.0,3054.0,2.0,1.349260602146387,3.0,1.8709439719095824,17.0,24.0,5.0,0.0,D S,Lecce,2.0,1.349260602146387,7.326979896984994,5.636754522100091,Gendrey,V,Gendrey
6480,D,Tchatchoua,Verona,2024,1,7.5,7.0,26.0,1713.0,0.0,0.0,2.0,1.4765660241246223,0.0,15.0,2.0,0.0,D S,Verona,0.0,0.0,4.330691508948803,3.0953275114297867,Tchatchoua,J,Tchatchoua
6664,D,Delprato,Parma,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
256,D,Juan Jesus,Napoli,2024,1,4.5,4.5,,,,,,,,,,,,,,,,,,,
294,D,Rugani,Juventus,2024,0,0.0,0.0,17.0,1195.0,2.0,2.4401188790798187,0.0,0.3670960031449795,8.0,3.0,2.0,0.0,D S,Juventus,2.0,2.4401188790798187,3.885229654610157,3.630960177630186,Rugani,D,Rugani
327,D,Patric,Lazio,2024,0,0.0,0.0,20.0,1606.0,2.0,1.4115280732512474,0.0,0.1865046005696058,6.0,4.0,4.0,0.0,D S,Lazio,2.0,1.4115280732512474,6.1765273828059435,6.022996557876468,Patric,P,Patric
729,D,Pereira P.,Monza,2024,0,0.0,0.0,23.0,828.0,0.0,0.1887575536966323,2.0,1.635898425243795,3.0,14.0,3.0,0.0,D S,Monza,0.0,0.1887575536966323,3.2076416639611125,1.5267320713028312,Pereira,P,Pereira P.
729,D,Pereira P.,Monza,2024,0,0.0,0.0,35.0,2571.0,0.0,0.924775001592934,4.0,3.1479097194969654,14.0,21.0,6.0,0.0,D M S,Crotone,0.0,0.924775001592934,6.3872065879404545,3.695689040236175,Pereira,P,Pereira P.
770,D,Pezzella Giu.,Empoli,2024,1,6.0,6.0,,,,,,,,,,,,,,,,,,,
1952,D,Zampano,Venezia,2024,1,5.5,5.5,1.0,90.0,0.0,0.0292042940855026,0.0,0.0,1.0,0.0,0.0,0.0,D,Venezia,0.0,0.0292042940855026,0.0633587390184402,0.0341544412076473,Zampano,F,Zampano
2181,D,Palomino,Cagliari,2024,0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2263,D,Lazzari,Lazio,2024,1,6.5,6.5,24.0,1678.0,0.0,1.0219634026288986,2.0,1.607017232105136,8.0,9.0,4.0,1.0,D S,Lazio,0.0,1.0219634026288986,6.413812613114715,4.334949789568782,Lazzari,M,Lazzari
